imgName,subId,response,rt,nClicks,gender,income,education,congruency,valueDiff,saliencyLocation,correctness
flippedimg_9,5b910e2aa067840001b100af,Right,0.442,1,Male,40000,Associate's Degree,0,-4,1,1
flippedimg_9,5da5a0f915b62c00141f609a,Right,2.11,1,Female,150000,High School Diploma or equivalent,0,-4,1,1
flippedimg_9,5ad2d9fafb109b0001a32749,Right,3.605,2,Female,40000,Associate's Degree,0,-4,1,1
flippedimg_9,5f1e174460bf5d7ad7a63b8e,Right,4.564,1,Male,NaN,High School Diploma or equivalent,0,-4,1,1
flippedimg_9,5d62f080d556f20001807aa2,Right,3.17,1,Male,35000,Master's Degree,0,-4,1,1
flippedimg_9,5f0f39b34102af025bd36ea5,Right,7.1,9,Male,150000,Master's Degree,0,-4,1,1
flippedimg_9,5ee24dabbd4b2a3393438be3,Left,3.225,2,Male,30000,High School Diploma or equivalent,0,-4,1,0
flippedimg_9,5ecfdd84dc64e1061b97e321,Right,4.797,2,Male,30000,High School Diploma or equivalent,0,-4,1,1
flippedimg_9,5f033543945c554f816f6ad7,Right,3.4,1,Female,75000,Bachelor's Degree,0,-4,1,1
flippedimg_9,5b69032cecb6340001b0cc05,Right,2.609,1,Male,5300,Bachelor's Degree,0,-4,1,1
flippedimg_9,5eb71d89ed8104645e640ad7,Right,2.116,1,Female,20000,High School Diploma or equivalent,0,-4,1,1
flippedimg_9,5f136401b1f46a36f39a8c72,Right,1.543,1,Female,3087,High School Diploma or equivalent,0,-4,1,1
flippedimg_9,5739ae9d12d1d8000735d6bb,Right,1.7,1,Female,12000,High School Diploma or equivalent,0,-4,1,1
flippedimg_9,5c5403d7114ab80001e4bfe7,Right,1.836,1,Male,110000,Bachelor's Degree,0,-4,1,1
flippedimg_9,5d510a7e8c23ee000140b64a,Right,0.8,1,Male,30000,Bachelor's Degree,0,-4,1,1
flippedimg_9,5e9bd025eb6b380e1d66d04c,Right,2.53,1,Male,19000,Bachelor's Degree,0,-4,1,1
flippedimg_9,5c9e3d5553de260014ce7f98,Right,2.404,1,Male,30000,Bachelor's Degree,0,-4,1,1
flippedimg_9,5c6e01f1a8f71b0001c1ed34,Right,4.669,2,Male,35000,Bachelor's Degree,0,-4,1,1
flippedimg_9,5efd440689469118b2540378,Right,3.043,2,Female,NaN,High School Diploma or equivalent,0,-4,1,1
flippedimg_9,5df1a3387caa1e0c69dca179,Right,0.531,1,Male,12000,High School Diploma or equivalent,0,-4,1,1
flippedimg_9,5ea6d737a09cad065e46bc83,Right,1.683,1,Male,50000,High School Diploma or equivalent,0,-4,1,1
flippedimg_9,5c120a94e32f860001657bd1,Right,5.179,1,Male,130000,High School Diploma or equivalent,0,-4,1,1
flippedimg_9,5de5157820c5aa09b7a53b89,Right,1.381,1,Male,10000,High School Diploma or equivalent,0,-4,1,1
flippedimg_9,5c041a0ce0483e0001f21370,Right,0,0,Female,250000,Master's Degree,0,-4,1,
