imgName,subId,response,rt,nClicks,congruency,valueDiff,saliencyLocation,correctness,normalizedRt,income,education,gender
img_27,5ecb01cced3da428165efe9c,Left,0.845,1,1,4,1,1,0.202450974519928,30000,Bachelor's Degree,Female
img_27,5d293924af9e43001b1e4e22,Left,6.135,1,1,4,1,1,1.03365485868329,50000,High School Diploma or equivalent,Male
img_27,5ea664529b1fb66807ced077,Left,0,0,1,4,1,NaN,0,15000,High School Diploma or equivalent,Male
img_27,5bf50a11499f2f0001d98ddf,Left,5.353,1,1,4,1,1,0.947443018904258,20000,High School Diploma or equivalent,Male
img_27,5f1ca7a85e7391107f8d7562,Left,1.819,1,1,4,1,1,0.889600960905975,229521,High School Diploma or equivalent,Female
img_27,5bcd2885ac406f000177d6b0,Left,2.837,1,1,4,1,1,0.684852142426071,10000,High School Diploma or equivalent,Male
img_27,5c5a060fcb75f20001e60f78,Left,4.32,1,1,4,1,1,1.117997955513,70000,High School Diploma or equivalent,Male
img_27,5d547cb99b7c4e0016886fdb,Left,2.405,1,1,4,1,1,0.52824635389211,22000,Bachelor's Degree,Female
img_27,5f1c56ae47b7400908bae9c9,Left,2.418,1,1,4,1,1,0.591581342434585,30000,High School Diploma or equivalent,Male
img_27,5f08dd79938b1e15c0bd56a6,Left,0,0,1,4,1,NaN,0,0,High School Diploma or equivalent,Female
img_27,5c62fbd932207f00016bd19e,Left,3.345,2,1,4,1,1,0.592260771798118,80000,Bachelor's Degree,Female
img_27,5bd8d12abeca730001cf1926,Left,1.716,1,1,4,1,1,0.806353084911423,15000,Bachelor's Degree,Male
img_27,5ecd4b6b8ebded08f71361b1,Left,1.53,1,1,4,1,1,0.441883637308842,1000,High School Diploma or equivalent,Female
img_27,5efc96a12da8b4056d00cd93,Left,2.373,1,1,4,1,1,0.93375568103567,55000,High School Diploma or equivalent,Male
img_27,5e1d4ad0aedc2c0cd69a1278,Left,4.634,1,1,4,1,1,0.833918191797585,0,Master's Degree,Male
img_27,5c5c65ccf808d600015155ea,Left,3.041,2,1,4,1,1,0.565638844526882,50000,Bachelor's Degree,Female
img_27,5e9ce99a8035dd1cf6b23aa7,Left,0,0,1,4,1,NaN,0,30000,High School Diploma or equivalent,Male
img_27,5df949909195c66d579887f4,Left,1.787,1,1,4,1,1,0.370289787502979,15000,High School Diploma or equivalent,Male
img_27,5e2df47e1996e2000a1da03f,Left,1.228,1,1,4,1,1,0.663066954643628,90000,Master's Degree,Male
img_27,5e721cdce963f7000d4d26a4,Left,3.934,3,1,4,1,1,0.909111917361865,25000,Bachelor's Degree,Male
img_27,5d40706844220d00191363da,Left,3.696,2,1,4,1,1,0.801387684301821,50000,High School Diploma or equivalent,Female
img_27,5e62d0f9ffed3206751eb55c,Left,4.878,2,1,4,1,1,0.942043469570432,30000,Bachelor's Degree,Male
img_27,5d4ca0c0112f830016026942,Left,5.254,1,1,4,1,1,0.89883411600674,0,Bachelor's Degree,Female
img_27,5d9e6e24348a610012ad4292,Left,2.357,1,1,4,1,1,0.590534412346854,40000,High School Diploma or equivalent,Female
img_27,5bf0bf413c1b1c0001ce9336,Left,5.781,1,1,4,1,1,0.803504452493234,19000,Master's Degree,Female
img_27,5e99dadcb9ea5b047f30a2c2,Left,2.344,1,1,4,1,1,0.594487950332865,10000,Bachelor's Degree,Male
img_27,5ea97c487b2a16069184abcc,Left,0,0,1,4,1,NaN,0,40000,Bachelor's Degree,Female
img_27,5d54043a7f6fa40001b13299,Left,0,0,1,4,1,NaN,0,35000,Master's Degree,Female
img_27,5f0f58b82ab2910f275ed21e,Left,0,0,1,4,1,NaN,0,44480,High School Diploma or equivalent,Male
img_27,5ec45b4b30b4c334ecb6cf6b,Left,2.641,1,1,4,1,1,0.631261373042486,0,Bachelor's Degree,Female
img_27,5c5d6b55b7ce2100011fa04e,Left,0,0,1,4,1,NaN,0,2000,High School Diploma or equivalent,Male
flippedimg_9,5d4556c5d1f123001716bae3,Right,2.265,1,0,-4,1,1,0.633495552945125,3000,High School Diploma or equivalent,Male
flippedimg_9,5dcb016991c2ba7e029b6545,Right,0,0,0,-4,1,NaN,0,20000,High School Diploma or equivalent,Female
flippedimg_9,5e9886c0cb28b607b3e7f42f,Right,1.597,1,0,-4,1,1,0.520144611275771,200000,Associate's Degree,Male
flippedimg_9,5e6ff43e18d1a809cd0b836a,Right,0.038,1,0,-4,1,1,0.0184483930478687,30000,Bachelor's Degree,Male
flippedimg_9,5cf23dc994df330018876744,Right,3.833,1,0,-4,1,1,1.11165893271462,70000,Master's Degree,Female
flippedimg_9,579540d016a091000112cdf5,Right,3.72,1,0,-4,1,1,0.583236649838513,59000,Bachelor's Degree,Male
flippedimg_9,5eea4d6485ba010cd59c2107,Right,0.747,1,0,-4,1,1,0.242590200849748,400000,Bachelor's Degree,Male
flippedimg_9,5d92b4debda22b00179a2edf,Right,1.588,1,0,-4,1,1,0.388796396043483,40000,Bachelor's Degree,Male
flippedimg_9,5ede038270fe0e000ab7ae54,Right,2.364,1,0,-4,1,1,0.68617206548241,30000,Associate's Degree,Male
flippedimg_9,5a910c8a6475f900019f8cbc,Left,2.597,1,0,-4,1,0,0.369630045443004,300000,Bachelor's Degree,Male
flippedimg_9,5ce998fda20e6000170c5ce8,Right,1.314,1,0,-4,1,1,0.614449380406827,50000,High School Diploma or equivalent,Female
flippedimg_9,5e8222aec6db759394a891f4,Right,1.952,1,0,-4,1,1,0.433149614581165,10000,Master's Degree,Female
flippedimg_9,59d7a9a250f88f000161eb07,Right,4.454,1,0,-4,1,1,1.15527773094531,20000,Master's Degree,Male
flippedimg_9,5f204b5558c81f30e9860972,Right,0,0,0,-4,1,NaN,0,5000,Bachelor's Degree,Female
flippedimg_9,5b910e2aa067840001b100af,Right,0.442,1,0,-4,1,1,0.105527038319207,40000,Associate's Degree,Male
flippedimg_9,5da5a0f915b62c00141f609a,Right,2.11,1,0,-4,1,1,0.468735352020249,150000,High School Diploma or equivalent,Female
flippedimg_9,5ad2d9fafb109b0001a32749,Right,3.605,2,0,-4,1,1,0.534941630522864,40000,Associate's Degree,Female
flippedimg_9,5f1e174460bf5d7ad7a63b8e,Right,4.564,1,0,-4,1,1,1.24412217694121,22661,High School Diploma or equivalent,Male
flippedimg_9,5d62f080d556f20001807aa2,Right,3.17,1,0,-4,1,1,1.01238688891912,35000,Master's Degree,Male
flippedimg_9,5f0f39b34102af025bd36ea5,Right,7.1,9,0,-4,1,1,1.26497075066928,150000,Master's Degree,Male
flippedimg_9,5ee24dabbd4b2a3393438be3,Left,3.225,2,0,-4,1,0,0.828144058547859,30000,High School Diploma or equivalent,Male
flippedimg_9,5ecfdd84dc64e1061b97e321,Right,4.797,2,0,-4,1,1,1.40328808799438,30000,High School Diploma or equivalent,Male
flippedimg_9,5f033543945c554f816f6ad7,Right,3.4,1,0,-4,1,1,0.866595299994902,75000,Bachelor's Degree,Female
flippedimg_9,5b69032cecb6340001b0cc05,Right,2.609,1,0,-4,1,1,0.484363541850384,5300,Bachelor's Degree,Male
flippedimg_9,5eb71d89ed8104645e640ad7,Right,2.116,1,0,-4,1,1,0.486934238104399,20000,High School Diploma or equivalent,Female
flippedimg_9,5f136401b1f46a36f39a8c72,Right,1.543,1,0,-4,1,1,0.239191838520241,3087,High School Diploma or equivalent,Female
flippedimg_9,5739ae9d12d1d8000735d6bb,Right,1.7,1,0,-4,1,1,0.634864439636902,12000,High School Diploma or equivalent,Female
flippedimg_9,5c5403d7114ab80001e4bfe7,Right,1.836,1,0,-4,1,1,0.378396760132315,110000,Bachelor's Degree,Male
flippedimg_9,5d510a7e8c23ee000140b64a,Right,0.8,1,0,-4,1,1,0.269718986530908,30000,Bachelor's Degree,Male
flippedimg_9,5e9bd025eb6b380e1d66d04c,Right,2.53,1,0,-4,1,1,0.392889415916307,19000,Bachelor's Degree,Male
flippedimg_9,5c9e3d5553de260014ce7f98,Right,2.404,1,0,-4,1,1,0.360894038417801,30000,Bachelor's Degree,Male
flippedimg_9,5c6e01f1a8f71b0001c1ed34,Right,4.669,2,0,-4,1,1,0.885799583528112,35000,Bachelor's Degree,Male
flippedimg_9,5efd440689469118b2540378,Right,3.043,2,0,-4,1,1,0.762794671115926,20000,High School Diploma or equivalent,Female
flippedimg_9,5df1a3387caa1e0c69dca179,Right,0.531,1,0,-4,1,1,0.119412302570535,12000,High School Diploma or equivalent,Male
flippedimg_9,5ea6d737a09cad065e46bc83,Right,1.683,1,0,-4,1,1,0.454593214703322,50000,High School Diploma or equivalent,Male
flippedimg_9,5c120a94e32f860001657bd1,Right,5.179,1,0,-4,1,1,0.885329412971384,130000,High School Diploma or equivalent,Male
